age,AT
312000,-1.876399971832688
313000,-2.5745099175518895
314000,-2.6657387782523294
315000,-2.893446865994825
316000,-3.4080557825228492
317000,-3.7152928519496813
318000,-4.213640917157291
319000,-4.388006527875043
320000,-5.166137009969603
321000,-4.335100679700308
322000,-3.4392222036617284
323000,-4.283097950270469
324000,-5.650129933855905
325000,-6.257087064248667
326000,-4.841538315020301
327000,-3.3589937686703486
328000,-4.492393504266958
329000,-6.227370111755654
330000,-6.093315440063117
331000,-7.639061014015261
332000,-7.267718608145761
333000,-7.5655939272120465
334000,-7.56421897825767
335000,-6.99413396862137
336000,-6.73924848846889
337000,-6.528497984815185
338000,-7.407075852279196
339000,-7.5499882357156975
340000,-7.900332023244075
341000,-7.849308199904043
342000,-7.957864515399595
343000,-6.891722611884563
344000,-6.014239018423739
345000,-5.429947979295483
346000,-6.622239091648395
347000,-6.024714752594322
348000,-6.964093965916338
349000,-6.467324644376217
350000,-6.493005735009738
351000,-5.564313081043935
352000,-5.583843918866758
353000,-6.780239977407354
354000,-6.616197127324904
355000,-6.61781325156573
356000,-7.354893371595446
357000,-7.631182655260134
358000,-8.249334979755673
359000,-8.329795970739527
360000,-8.325470170392082
361000,-8.755994310451726
362000,-8.841940889509853
363000,-7.9265929504420525
364000,-7.907815254907487
365000,-8.077216057822739
366000,-8.000159534438074
367000,-7.858866091713177
368000,-7.816986526499799
369000,-6.79514748225415
370000,-5.796424264790974
371000,-4.323718463466915
372000,-2.3212019678240097
373000,-1.571770455497323
374000,0.2704217881327735
375000,-1.9396056832454602
376000,-1.47743835040605
377000,-1.4068041565544147
378000,-0.4028220539381189
379000,-0.33773193243238153
380000,-0.1581902585792212
381000,0.6770498875761322
382000,0.7938565636543453
383000,0.40186419786173466
384000,0.28432841938626097
385000,0.695369981489395
386000,0.5621450117853775
387000,0.8052096536893848
388000,1.4677708431927525
389000,1.9552493847428976
390000,2.143276149575968
391000,2.2330859798633433
392000,2.369378946669965
393000,2.3406110301517637
394000,2.094994438219382
395000,1.8036487898830766
396000,1.599016818918575
397000,0.9620067010223899
398000,0.3382717263011369
399000,-0.20303793131487002
400000,-0.3498806257753715
401000,-0.7591017393318065
402000,-1.1157689117327212
403000,-1.9221617319942534
404000,-3.1800750728625937
405000,-3.9295980229425203
406000,-4.342347109671725
407000,-4.889070929522478
408000,-4.816123069586113
409000,-5.369574223809108
410000,-5.6624092313720675
411000,-4.649207024595191
412000,-2.77484524171283
413000,-3.2831623577455717
414000,-4.254106474376859
415000,-5.112109119186567
